COURSE_NO,COURSE_TITLE,BILL_HR_LOW,BILL_HR_HIGH,COLLEGE,DEPT,LEVEL,GRADE_MODE,SCHEDULE_TYPE,AVAILABILITY,PRE_REQ,DESCRIPTION
ACCT110,Financial Accounting,3,,Business and Economics,Accounting and Info System,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",MATH103 OR MATH119 OR MATH021 OR SAT 500 OR SATN 530 OR ACT 21 OR MATH101 OR QUPM 200 ,"This course introduces financial accounting for various business entities. Topics covered include accounting concepts and principles based on generally accepted accounting principles (GAAP). Emphasis will be on analyzing, recording, classifying, and communicating information, including the preparation of financial statements. "
ACCT111,Principles of Accounting I,3,,Business and Economics,Accounting and Info System,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",,ENGL198 AND MATH119 ,"Principles of accounting and the relationship between accounting and other disciplines are introduced. Topics examined include accounting concepts, principles, and policies according to generally accepted accounting principles (GAAP). The approach of the balance sheet equation will be introduced as well as types of journals, ledgers, and financial reports. "
ACCT116,Managerial Accounting,3,,Business and Economics,Accounting and Info System,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",ACCT110 OR ACCT111 ,"This course focuses on the principles of management accounting as it applies to the use of accounting information in planning and controlling business operations.  Students are introduced to cost terms and concepts, cost behavior, cost-volume-profit analysis, variable costing, budgeting, and relevant costs for decision-making"
ACCT221,Intermediate Accounting I,3,,Business and Economics,Accounting and Info System,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",ACCT116 OR ACCT112 ,This course is the second in the sequence of financial accounting courses. It mainly focuses on essential financial accounting concepts and standards related to corporate financial reporting with more emphasis on preparation of financial statements. Primary concern is with asset measurement and income determination. 
ACCT222,Intermediate Accounting II,3,,Business and Economics,Accounting and Info System,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",ACCT221 ,"This course is the third in the sequence of financial accounting courses. It provides an advanced exposure to the theory and application of generally accepted accounting principles (GAAP), with particular emphasis on the areas of liability and equity accounts as well as financial reporting."
ACCT330,Proj.Cost Acct.&Fina. for Eng.,3,,Business and Economics,Accounting and Info System,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",S,,"This course develops essential skills for construction project managers and cost accountants. It focuses on the activities of the construction management team, including the project manager, jobsite cost engineers and cost accountants. This course links cost accounting and construction project management from the management and cost accounting perspective. It also provides topics such as time value of money, financial statements, budgets, ratios, cost control, equipment depreciation, cash flow, supply chain management, activity-based accounting and lean construction techniques."
ACCT331,Cost & Management Accounting,3,,Business and Economics,Accounting and Info System,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",ACCT116 OR ACCT112 ,"This course provides an in-depth study of cost/management accounting concepts and principles as they apply to manufacturing and service environments. Students are introduced to cost accumulations and assignments using traditional and contemporary cost accounting approaches, and budgeting. The use of accounting information in planning, controlling, and evaluating business decisions both short- and long-term to be covered. "
ACCT333,Auditing I,3,,Business and Economics,Accounting and Info System,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",ACCT116 OR ACCT112 ,"This course introduces basic concepts of auditing attestation and assurance.  Areas studied include the quality control standards and the code of professional ethics, regulation and legal liabilities audit evidence and audit programs, assessment of risks and materiality, and audit reports."
ACCT411,Government Accounting,3,,Business and Economics,Accounting and Info System,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",F,ACCT116 OR ACCT112 ,"This course provides an overview of the concepts and procedures of fund accounting. The general framework of State Budget will be addressed in addition to the accompanying detailed timetable needed for its special preparation. Accounting for not-for-profits, such as hospitals and universities to be addressed."
ACCT412,Managerial Accounting,3,,Business and Economics,Accounting and Info System,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",,ACCT325 ,"Use of accounting information in a rational decision-making process in both the short term and the long run. Marginal contribution, cost-volume-profit (CVP), divisional performance analysis, and budgeting planning and control will be addressed. "
ACCT413,Auditing II,3,,Business and Economics,Accounting and Info System,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",S,ACCT333 ,"This course provides the continuation of concepts of auditing attestation and assurance studied in Auditing I.  Areas to be studied include test of controls and substantive audit testing for various cycles and balances, statistical sampling for control testing and substantive testing, and in-depth audit reports."
ACCT415,Cost Accounting II,3,,Business and Economics,Accounting and Info System,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",,ACCT325 ,"Cost accounting process systems, cost accounting reports, calculating the costs of each process, and the average cost per cost element (raw material, labor, and overhead). Additional topics examined are the standard cost system, variance analysis for all cost elements, the cost of byproducts and how to spilt the common cost among different products. The cost construction system, as well as preparing the cost’s reports will also be addressed. "
ACCT418,Advanced Accounting,3,,Business and Economics,Accounting and Info System,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",F,ACCT221 ,"This course focuses on accounting for business combinations and consolidated financial statements. International accounting and foreign exchange translation, accounting for partnership formation and liquidation and interim reporting is addressed."
ACCT419,Internal Audit I,3,,Business and Economics,Accounting and Info System,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",F,ACCT333 ,"This course provides an introduction to the principles of the internal audit profession and the internal audit process. The course introduces the students to various topics including the definition of internal auditing and its standards, corporate governance and control issues, fraud risks and auditing techniques, conducting internal audit engagements, and more."
ACCT420,Tax and Zakat Accounting,3,,Business and Economics,Accounting and Info System,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",ACCT221 ,"The course exposes students to the fundamentals of tax accounting, including taxation in Qatar, the principles of zakat, and international taxation. The concepts of tax and zakat, their methods of valuation, measurement, and accounting treatment will be discussed. Corporate tax calculation as well as zakat calculation will also be introduced. Similarities and differences between conventional tax and zakat will be highlighted. The course will cover the international taxation system and provide a comparison between tax in Qatar and other countries."
ACCT421,Accounting Information Systems,3,,Business and Economics,Accounting and Info System,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",ACCT116 OR ACCT112 ,"This course focuses on concepts and procedures related to accounting information systems.  Areas studied include system design and implementation, relationship between accounting information systems and other information systems within the organization, flowcharts, and computer applications and tools."
ACCT424,International Accounting,3,,Business and Economics,Accounting and Info System,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",S,ACCT116 ,"This course focuses on accounting issues related to international business transactions, harmonization of accounting principles, and comparative accounting systems. The course introduces the students to various topics including changes of the accounting environments, accounting of changing prices, international financial statement analysis, auditing for global operations, taxation, managerial accounting issues, and the International Accounting Standards (IAS)."
ACCT428,Fin Statements Analysis,3,,Business and Economics,Accounting and Info System,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",S,ACCT116 OR ACCT112 ,"This course examines performance evaluation of projects from accounting and financial perspectives.  Areas studied include trend analysis, ratio analysis, vertical and horizontal analysis for different financial statements, and statement of cash flow analysis."
ACCT430,Accounting Data Analytics,3,,Business and Economics,Accounting and Info System,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",,,"Big data analytics has significant transformative effects on the accounting and audit functions of contemporary organizations. This course is designed to enable students to develop skills and competences in the application of data analytics principles and techniques to accounting and auditing processes. The aim is to enhance students’ ability to integrate structured and unstructured financial and non financial data into a form that facilitate descriptive, diagnostic, predictive and prescriptive analytics in accounting and audit contexts."
ARAB055,Arabic Language Basics I,3,,Arts and Sciences,Arabic for Non Speakers,"(UG) - Undergraduate , ","(P) - Pass/Fail , ","LC-Lecture , ",,,"This course is designed to introduce learners of Arabic as a foreign language to the basics of Arabic taught at the bridge level and beginner I level (A0 – A1). It is introduced through real-life communicative situations which reflect the  learner’s environment from introducing himself and getting to know the society around him and what is related to his social and academic life. The course aims to develop four communicative language skills based on the basic skills of the  Arabic language: listening, speaking, reading, and writing. And several various teaching and learning techniques, as well as assessment methods, are implemented to fulfill these goals.  "
ARAB065,Arabic Language Basics 2,3,,Arts and Sciences,Arabic for Non Speakers,"(UG) - Undergraduate , ","(P) - Pass/Fail , ","LC-Lecture , ",,,"This course aims to enable learners of Arabic as a foreign language to acquire the core skills in Modern Arabic introduced at Beginner II and Intermediate I levels (A2 –B1). This is done through real-life communicative situations which encourage learners to express themselves orally and in writing, as well as to read various texts and discuss them to continue their studies in the Arabic language core requirementsat the university. This will be done by adopting an active learning environment centered around the learner's activity,  characterized by diversity in learning resources, and interim and final  assessment tools. Various teaching and learning techniques as well as different  assessment tools are implemented to reach the course goals."
ARAB075,Arabic Language Basics 2,3,,Arts and Sciences,Arabic for Non Speakers,"(UG) - Undergraduate , ","(P) - Pass/Fail , ","LC-Lecture , ",,,Arabic Language Basics 3 reinforces the language skills acquired in Arabic Language Basics 1 (ARAB 055) and Arabic Language Basics 2 (ARAB 065) and enables learners to enroll in the Arabic Language I (ARAB 100).
ARAB100,Arabic Language I,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",,"The course aims to provide students the important skills to communicate in Arabic; listening, speaking and reading, with attention to writing skills in relation to each. This is done through content that includes a variety of topics related to Contemporary Arabic, through deep analysis of linguistics and literary texts. The course has been introduced in an interactive learning environment based on: 1) student activities, 2) Developing student skills, 3) learning and collaborative methods, 4) Communication skills for self-expression and ideas in different ways, 5) Solving problems through critical thinking skills and creativity, and 6) The absorption of ideas in different contexts. The assessment process uses a variety of tools to measure the attainment of student learning outcomes."
ARAB109,Language Skills,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LL-Lecture/Lab , ","F,S",,"This course aims to enable the student acquire the four language skills (listening, speaking, reading and writing), i.e. to develop the skill of speaking sound Arabic; enhance communication with others; master the skills of reading, sending / receiving and understanding oral and written communications; and to master correct writing skills and identify proper ways of usage.  All this is achieved through content which focuses on the functional aspect of the language, with attention to acquiring the knowledge of types of speech and signs of each type; differentiating inflected and uninflected forms and knowing the signs of both; and recognizing the two types of the Arabic sentence and their components, in an active-learning student-centered atmosphere, utilizing various learning activities, including readings of quality linguistic and literary source books to enable them employ their language skills in absorbing source texts, with a relative weight of up to 80% of the skill, employing various assessment tools."
ARAB110,Intro to Literature & Language,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",ARAB239 OR ARAB109 OR ARAB100 OR (ARAB105 AND ARAB106 )AND ,"This course aims at building students’ familiarity with and competence in Arabic literature in its various genres, so as to increase their ability to appreciate literature and to develop their awareness of its concepts through the study of poetry and short story. "
ARAB200,Arabic Language II,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",ARAB100 OR (ARAB105 AND ARAB106 ),"The course aims at enabling the student to master the skill of the Arabic writing, and scientific and professional communication. These aims will be realized by the course content, which combines the basics of the language and linguistic rules to regulate the methods of writing, and experience on the skills of the Arabic writing in the following forms: 1) Functionally and creatively, 2) Traditionally and contemporary, and 3) Descriptively and analytically. Furthermore, the course aims at handling written problems by self-learning and collaborative environments that develop creative skill, dialogue, discussion, and critical thinking. It will also promote methods of written expression toward both the self and career, including help in the acquisition of knowledge, and building cultural awareness and good citizenship. The performance of the student will be evaluated through the various assessment tools that focus on the students’ writing skills, in order to achieve the desired learning outcomes."
ARAB213,Grammar I,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",,"This course aims to provide students with the functional rules of some Arabic grammar sections; addressing the provisions of the nominal sentence, and supplementary substitutes; explaining the provisions of the verbal sentence, acquainting students with the provisions of the subject and subject of the perdicate; explaining the direct object and its association with to the subject in terms of precedence, announcement and/or omission; completing the other types of objects, identfying their synthetic forms; and finally, explaining the sections of semi-objects, such as circumstantial, differential, and exceptional. All this is done in an active learing atmosphere, employing various assessment tools (presentations, tests, etc.)."
ARAB218,Morphology,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",,"This course deals with science of morphology in the Arabic language, providing the historical context surrounding the emergence of this science, its importance, subject matter and concept; studying its sections starting with the morphological scale and its forms, analyzing verb classifications into abstract, true, augmented and weak; explaining the attribution of all verb forms to pronouns; addressing derivatives such as active participle, intensive form, passive participle, parable adjective, adverbs of time and place, comparative adjective, instrumental noun; also explaning infinitive forms and types; explaining the ascribed noun, diminutive noun, broken plural; andexplaining phonological symptoms of weakening or substitution, giving special care to exercises and linking forms to semantics and generating forms to denote novelties.  All this is done in an active learing atmosphere, employing various assessment tools (research papers, presentations, tests, etc.)"
ARAB220,Writing Registers types&rules,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",,,"This course enhances students writing skills. It support their ability of writing scientific, critical, philosophical, literary and functional texts.  The course benefits from textbooks that blend theoretical knowledge with practice in and out the study room.Students will learn how to compose simple and long compound sentences, paragraphs, articles and other writing genres.Students will also learn how to develop their ideas and points of view along with expressing them clearly and efficiently.The students will also learn how to write functional text genres such as reports, articles, messages, news stories and autobiography.They will enhance their writing skills through correcting their grammatical mistakes, spelling errors and vocabulary misuse. The course will be taught in an interactive learning environment that emphasize the role of students and acknowledge their differences and tendencies.This course uses various evaluation tools to evaluate the various aspects of writing skills. "
ARAB221,Classical Arabic Poetry I,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",,"Arabic poem in pre-Islamic and the Umayyad eras: The course covers poetry of Pendants (“Mu’allaqat”), tramp and knight poets of the pre-Islamic era. It also addresses the romantic and political poetry during the Umayyad era. The focus in this course is on explaining the structural and conceptual characteristics achieved by poem in both the pre-Islamic and the Umayyad eras.  All this is done in an active learing atmosphere, employing various assessment tools (research papers, presentations, tests, etc.) This course aims to enable the student to re-examine the old Arabic poetry, by focusing on the path of transformations witnessed throughout the two eras mentioned above."
ARAB223,Classical Arabic Poetry II,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",S,ARAB221 OR ARAB240 ,"This course aims to make the student assess the changes that Arabic poem had gone through during the Abbasid era and in the Arabian Maghreb (Northwest African) and Andalusia regions. Therefore, the focus is on the Originators' (“Moualledin”) poetry, and explaining the contibutions they’ve made to Arabic poetry. Focus is also placed on the successive authentication process by poets of the likes of Abu Tammam, Al-Bohtori, Al-Mutanabbi and Al-M’arri. The course aims also to make the students aware of the contributions accomplished by Morocco and Andalusia poets; all this in an active learing atmosphere, employing various assessment tools (poetry readings, research papers, presentations, tests, etc.)"
ARAB224,Classical Arabic Prose,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",,"The purpose of this course is to make the student make re-consider all knowledge they acquired on prose in the Arab culture, in the light of the theory of genres and its provisions. Learning will be on the theoretical; looking into the emergence of prose genres in the Arab culture, its development and inter-generation.  Some examples are the news, the rhythmic prose “Maqama”, the story, the biography, the letter, the public speech, etc...  The applied part shall be based analyzing samples of those prose genres, studying them and identifying their intellectual and aesthetic characteristics. All this is done in an active learing atmosphere, employing various assessment tools (research papers, presentations, tests, etc.)"
ARAB225,Qatari Folklore in literature,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",,"This course attempts to introduce students to the concept of folklore, its definitions, features and genres. Students will explore the social functions of folklore which fulfil societies’ aesthetical needs in general and the Qatari society in particular. This will be achieved by studying a rich repertoire includes popular poetry, folktales, proverbs, folksongs extended over different historical periods. Such repertoire enhances artistic and social values related deeply to the Qatari society. To achieve its goals, the course employs different teaching means and methods including presentations, lectures and discussions. It will give a great attention to analysis and applications. Hence, various selected data will be analyzed carefully to illustrate their aesthetical and social significance which will justify the importance of folklore. Through this engagement with various texts, students will be encouraged to involve in an active learning environment."
ARAB261,Rhetoric,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",,"This course aims to know the three branches of Rhetoric science, recognize their aesthetic aspects, and develop the creative, analytical and critical ability of the student. Based on this, the course covers the science of Eloquence with its different sections: simile, metaphors, antonomasia and metonymy; the science of Connotation and the science of Figurative speech (literal and conceptual).  The course concludes with a poem or a Quranic verse for the students to apply the rhetorical arts which they have learned.  All this is done in an active learing atmosphere, employing various assessment tools (applied presentations, tests, critical reading of rhtorical texts, etc.)"
ARAB262,Prosody and Metrics,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",,"This course aims to enable the student to know the basic terminology in the prosody and rhyme, distinguish between the various poetry metrics, read poetic text correctly, and differentiate between measured poetry vs. non-measured. Accordingly, the course covers the various metrics of prosody in ancient poetry, stanzas and free-style poetry, by relying on scansion and modern methods that depend on selected musical tunes to distinguish between the different metrics.  All this is done in an active learing atmosphere, employing various assessment tools (including musical prosodic reading with a relative weight of 20%, research paper with a relative weight of 15%, presentations, tests, etc.)"
ARAB271,Persian Language I,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",F,,"This course aims to enable the student to grasp the basics of Persian language on the level of the alphabet, phonetics, verbs and sentences and their formations, attached and detached pronouns, masculine and feminine word forms, definite and indefinite articles, adjuncts, adverbs, etc., as well as a number of Persian texts to apply these rules on.  Students will get acquainted with a base of vocabulary to enable them to form simple Persian sentences. All this is done in an active learing atmosphere, employing various assessment tools."
ARAB273,Hebrew,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",,,"This course aims to provide students with a general introduction to the principles of Hebrew language, addressing its historical development among Semitic languages??, then explaining the general principles of writing, reading and speaking, by teaching the pronunciation and writing its letters, composition and structure of words, and building a simple sentence in Hebrew, in addition to teaching the students the most commonly used words to gain enough knowledge to conduct a basic dialogue in Hebrew, accompanied with various exercises: phonetic, textual and linguistic. "
