course,year,semester
GENG106,1,Fall
ENGL202,1,Fall
CHEM101,1,Fall
CHEM103,1,Fall
MATH101,1,Fall
GENG107,1,Fall
GENG111,1,Spring
ENGL203,1,Spring
PHYS191,1,Spring
PHYS192,1,Spring
MATH102,1,Spring
DAWA111,1,Spring
MATH211,2,Fall
PHYS193,2,Fall
PHYS194,2,Fall
GENG200,2,Fall
PHYS101,2,Fall
CVEN210,2,Fall
CVEN213,2,Fall
CVEN214,2,Spring
MATH217,2,Spring
CVEN220,2,Spring
CVEN230,2,Spring
CVEN212,2,Spring
Major Additional-Science Elective,2,Spring
CVEN320,3,Fall
CVEN321,3,Fall
GENG300,3,Fall
CVEN330,3,Fall
CVEN270,3,Fall
CVEN340,3,Fall
GENG360,3,Spring
CVEN350,3,Spring
CVEN360,3,Spring
CVEN380,3,Spring
HIST121,3,Spring
Major Elective,3,Spring
CVEN399,3,Summer
CVEN420,4,Fall
ARAB100,4,Fall
CVEN401,4,Fall
Major Elective,4,Fall
Major Elective,4,Fall
CVEN380,4,Spring
CVEN402,4,Spring
Social/Behavioral Sciences package,4,Spring
Major Elective,4,Spring
