TERM,CRN,COURSE_NO,SECT_TYPE,SECTION_NO,CAMPUS,SCHEDULE_TYPE,INSTRUCTIONAL_METHOD,MAX_ENROLLMENT,CURRENT_ENROLLMENT,SEAT_AVAIL,WAIT_CAP,WAIT_CURR,MEETING_TIMES,BEGIN_TIME,END_TIME,ROOM_NO,INS_ID
201910,10001,ENGL202,CLAS,101,F,LC,English,22,21,1,0,0,Sun  Tue  Thr,8:00,8:50,C07-0138,13598
201910,10002,ENGL202,CLAS,127,F,LC,English,22,24,-2,0,0,Sun  Tue  Thr,10:00,10:50,GCR-27,15235
201910,10003,ENGL203,CLAS,102,F,LC,English,20,20,0,0,0,Mon  Wed,8:00,9:20,D01-0220,12005
201910,10004,GENG106,CLAS,L01,M,LC,English,45,39,6,0,0,Sun  Tue,11:00,11:50,BCR-I110,10512
201910,10005,GENG107,CLAS,L01,M,LC,English,45,37,8,0,0,Mon  Wed,9:30,10:50,BCR-E113,12312
201910,10006,GENG107,CLAS,L02,M,LC,English,45,29,16,0,0,Mon  Wed,14:00,15:20,BCR-E113,12312
201910,10007,GENG200,CLAS,L01,M,LC,English,40,39,1,0,0,Mon  Wed,9:30,10:50,BCR-I111,12502
201910,10008,GENG300,CLAS,L01,M,LC,English,35,28,7,0,0,Sun  Tue,8:00,8:50,BCR-I210,17497
201910,10009,GENG300,CLAS,L02,M,LC,English,40,44,-4,0,0,Sun  Tue,11:00,11:50,BCR-I210,13314
201910,10010,GENG360,CLAS,L01,M,LC,English,35,29,6,0,0,Mon  Wed,9:30,10:50,BCR-I210,11962
201910,10011,CHME201,CLAS,L01,M,LC,English,30,21,9,0,0,Mon  Wed,9:30,10:50,BCR-I212,11967
201910,10012,CHME311,CLAS,L01,M,LC,English,30,17,13,0,0,Sun  Tue  Thr,9:00,9:50,BCR-H210,12405
201910,10013,CHME312,CLAS,L01,M,LC,English,30,13,17,0,0,Sun  Tue  Thr,10:00,10:50,BCR-E224,11962
201910,10014,CHME313,CLAS,L01,M,LC,English,30,17,13,0,0,Sun  Tue  Thr,11:00,11:50,BCR-H210,10425
201910,10015,CHME421,CLAS,L01,M,SP,English,4,4,0,0,0,Mon  Wed,11:00,12:20,BCR-E113,11965
201910,10016,CHME423,CLAS,L01,M,LC,English,30,15,15,0,0,Sun  Tue  Thr,11:00,11:50,BCR-G209,14316
201910,10017,ELEC312,CLAS,L01,M,LC,English,0,19,-19,0,-2,Sun  Tue  Thr,8:00,8:50,BCR-E201,12900
201910,10018,ELEC333,CLAS,L01,M,LC,English,0,1,-1,0,0,Mon,17:00,18:15,BCR-D222,12771
201910,10018,ELEC333,CLAS,L01,M,LC,English,0,1,-1,0,0,Wed,17:00,18:15,B05-0135,12771
201910,10019,CVEN321,CLAS,L01,M,LL,English,20,27,-7,0,0,Sun  Tue,13:00,13:50,BCR-H210,10150
